[2026-08-24 11:17:11] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:11] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:14] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:14] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:17] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:17] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:20] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:20] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:23] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:23] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:26] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:26] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:29] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:29] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:32] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:32] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:35] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:35] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:38] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:38] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:41] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:41] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:44] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:44] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:47] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:47] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:59] INFO: GET /api/teams - Origin: Unknown
[2026-08-24 11:17:59] INFO: GET /api/tournaments - Origin: Unknown
